Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Pops on the March,I Love a Parade,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,4:49.810,John Williams/Boston Pops,5,
"Yeager's Triumph (From ""The Right Stuff"")",The Right Stuff / North And South (Original Motion Picture Scores),,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,5:07.835,Bill Conti,12,
Once in August,Living The Northern Summer,,Real Music,11,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],"This loop played in ‘The Vineyard Room’ restaurant from 2001-2008.  It was heard to be playing in the Alfresco Lounge, upstairs and downstairs restrooms in June 2012 (MouseBits, https://mousebits.com/smf/index.php?topic=6855.msg57321#msg57321) and still plays to this day in the bathrooms of the Golden Vine Winery (2026). Tracklist first posted by Magic Music user Progressland and verified by pixelated based on a circulating WDI source track. See Magic Music, https://community.magicmusic.net/threads/disneyland-music-loops.17/post-146 (2002) and Magic Music, https://mousebits.com/smf/index.php?topic=3594.msg36579#msg36579 (2010). Also noted in the Disney Parks Music Compendium, https://disney-parks-music-compendium.blogspot.com/2022/11/the-vineyard-room-bgm.html (2023).",00:52:58.502,5:43.177,Jim Chappell,1,The album track is around 0.026 secs. faster than the loop track.
Night Slip,Sanctuary: 20 Years of Windham Hill,1,Windham Hill Records,2,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,2:10.329,William Ackerman,2,
Heartsounds,Return To The Heart,,"Narada Productions, Inc.",5,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,7:00.650,David Lanz,9,The album track is around 0.07 secs. faster than the loop track
Aerial Boundaries,Sanctuary: 20 Years of Windham Hill,1,Windham Hill Records,4,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,4:38.734,Michael Hedges,6,
Rosalie,Swamp Dog Blues,,Strictly Country Records,11,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,4:06.972,Mike Dowling,14,
Rocket to the Moon,Sanctuary: 20 Years of Windham Hill,1,Windham Hill Records,1,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,2:26.777,Jim Brickman,5,note: The album track is around 0.026 secs. faster than the loop track
Children’s Dance,Sanctuary: 20 Years of Windham Hill,1,Windham Hill Records,7,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,2:35.939,Alex de Grassi,8,
Never Look Back,Midnight On The Boulevard,,BrainChild Records,5,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,4:15.036,Kilauea,3,
Suite in D minor: Bourrée (Robert de Visée),"Segovia: The American Decca Recordings, Vol 1, CD 3 (An Andrés Segovia Concert)",3,Deutsche Grammophon,4,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,0:41.781,Andrés Segovia,10,
Estudio Sin Luz,The Art of Segovia,2,Deutsche Grammophon,22,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,2:40.301,Andrés Segovia,4,
Joy,December: Piano Solos (20th Anniversary Edition),,Windham Hill Records,3,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,3:03.921,George Winston,13,note: The album track is around 0.1 secs. faster than the loop track.
Hope Reprise,A Gift Of Hope,,ULG/Countdown Records,4,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,3:18.436,Keiko Matsui,7,The album track is around 0.031 secs. faster than the loop track
Sonatine in A: Allegretto (Federico Moreno Torroba),"Segovia: The American Decca Recordings Vol. 1, CD 2 (An Andrés Segovia Recital)",2,Deutsche Grammophon,10,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,3:36 (estimated),Andrés Segovia,15,The album track is around 0.23 secs. faster than the loop track.
"Corre, Rio, Corre",Return To The Heart,,"Narada Productions, Inc.",7,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,3:08.804,David Lanz,11,
Ante Meridien,Chip Davis' Day Parts: Sunday Morning Coffee II,,American Gramaphone,10,,Golden Vine Winery,,Golden State,The Vineyard Room [REF],,,3:31.279,Doug Smith,12,note: The album track is around 0.029 secs. faster than the loop track.
Rattle and Burn,Vertigo,,Narada,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:03:45.798,Jesse Cook,6,
Baby Elephants,Cafe Ole,,Domo Records,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:03:39.162,Luis Villegas,5,
Don Quixote,Cafe Ole,,Domo Records,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,"This loop played throughout the Pacific Wharf from 2001 until its retheming in 2023. Playlist originally posted by Progressland on https://community.magicmusic.net/threads/disneyland-music-loops.17/ discussion board (2002) and later verified by pixelated and SSrustworthy. Also see MouseBits, https://mousebits.com/smf/index.php?topic=6243.msg99278#msg99278 (2022) and https://mousebits.com/smf/index.php?topic=5454.msg41258#msg41258 (2010). When calculating track lengths, tracks were assumed to start when the spectrogram any frequency is visible on the source track and end at the start of the next track.",01:08:54.662,00:03:04.784,Luis Villegas,1,Preceded by 1.045 seconds of silence. Track assumed to start at beginning when calculating loop length (not at the start of spectrogram frequency like the others).
Nasca Lines,A World Instrumental Collection,,Putumayo,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:05:35.789,Brian Hughes,16,
At Play,World Song (1992),,,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:01:13.503,Jim Lang,13,"This track is a piece of unreleased score from the short film “World Song” shown at the 1992 World Expo in Sevilla, Spain. The film’s score was composed by Jim Lang."
Whirl-Y-Reel 1,"Sound Magic, Vol. 1",,Real World,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:07:19.845,Afro Celt Sound System,3,
Köke Torɢan Degel ~ Goyar Sedgil,Mongolian Instrumental Music,,World Music Library,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:02:53.622,"Doljin Enhtaivan, Togtooliin Chagdarjav, Dashnym Enhtuya, Tsegmid Gerelmaa, Gurddrj Gantuya",14,
Puerto Rican Gypsy,A World Instrumental Collection,,Putumayo,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:05:50.153,"Banda Criolla, Jose Gonzalez",12,
Egüle-n Boru,Mongolian Instrumental Music,,World Music Library,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:02:09.110,"Togtooliin Chagdarjav, Dashnym Enhtuya, Gurddrj Gantuya",9,
Mercuriana,Duende,,Narada,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:04:27.873,Jose Luis Encinas,8,
Rosa Rose,Seduction,,Narada,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:04:14.119,Oscar Lopez,4,
Spanish Eyes,La Esperanza,,Higher Octave,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:04:12.122,Carlos Villalobos,7,
Tigris Palace,Gypsy Fusion,,Baja Records,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:04:22.666,NovaMenco,11,
Streetbeat,A World Instrumental Collection,,Putumayo,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:03:41.465,David Hewitt,17,
Loco Por Ti,Seduction,,Narada,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:05:05.506,Oscar Lopez,2,
S.O.B.,Cafe Ole,,Domo Records,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:03:59.643,Luis Villegas,15,
Olinda Road,Islands,,Putumayo,,"February 8, 2001",Pacific Wharf,,"Golden State, Pacific Wharf",Pacific Wharf,,,00:03:18.113,Hapa,10,
Stealing,Mudlark,,Capitol,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,"This loop played at the Redwood Creek Challenge Trail. The loop originated with the park but was replaced with a shorter version sometime prior to April 2011; see MouseBits, https://mousebits.com/smf/index.php?topic=6290.msg50082#msg50082. Tracklist originally posted by Magic Music user Progressland. See Magic Music, https://community.magicmusic.net/threads/dca-grizzly-peak-music-tracks.497/post-3108 (2002) and https://community.magicmusic.net/threads/disneyland-music-loops.17/post-147 (2002). ","Unknown (https://disney-parks-music-compendium.blogspot.com/2022/11/redwood-creek-challenge-trail-bgm-2001.html states ~01:00:43, not sure where that came from)",,Leo Kottke,1,
Silver Bell - Cheyenne,Return of the Repressed: The John Fahey Anthology,,Rhino,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,John Fahey,4,
"Tight Arrangements, Loose Fingers, And A Warm Place To Practise",Guitarist Composer Sampler,,Kicking Mule,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Dale Miller,17,
Festival Waltz,Whispering Stones,,Maggie's Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Al Petteway,21,
Falls,The Waters and the Wild,,Maggie's Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Al Petteway,6,
Blackberry Picking OR Day After Pay Day,Guitarist Composer Sampler OR The Raven,,Kicking Mule,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Bob Hadley,16,Guitar Composer Sampler is no longer in print. This track was re-released as “Day After Pay Day” on the later album “The Raven”
River,The Waters and the Wild,,Maggie's Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Al Petteway,14,
The Sophisticate,Guitarist Composer Sampler,,Kicking Mule,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Dale Miller,8,
Tell Her to Come Back Home,Return of the Repressed: The John Fahey Anthology,,Rhino,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,John Fahey,15,
Goat Island,The Hermit,,Castle Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,John Renbourne,5,
I'm Gonna Do All I Can For My Lord,Return of the Repressed: The John Fahey Anthology,,Rhino,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,John Fahey,10,
Little Martha,"Guitar Fingerstyle, Vol. 1",,Narada,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Tim Farrell,19,
Whistlin' Rufus,Jammed If I Do,,Sugarhill,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Dan Crary,3,
Sunflower River Blues,Return of the Repressed: The John Fahey Anthology,,Rhino,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,John Fahey,20,
Uncle Herman's Hornpipe,Jammed If I Do,,Sugarhill,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Dan Crary,13,
Bicycle Tune,The Hermit,,Castle Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,"John Renbourne ",18,
Dogue Creek,The Waters and the Wild,,Maggie's Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Al Petteway,9,
Faro's Rag,The Hermit,,Castle Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,John Renbourne,2,
Big Bug Shuffle,Skip Hop & Wobble (Sugarhill),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,"This loop plays inside of Rushin’ River Outfitters. It originated with the park opening in 2001, and is still audible as of 2026. It can be best heard in the morning when the store is quiet. Tracklist originally compiled by Progressland on Magic Music, and verified by SSrustworthy using her source recording. See Magic Music, https://community.magicmusic.net/threads/disneyland-music-loops.17/post-147. Also see MouseBits, https://mousebits.com/smf/index.php?topic=9818.msg92380#msg92380 (2018) and https://forums.mousebits.com/threads/rushin-river-outfitters-bgm.11032/#post-100021 (2024).",01:12:28.912,00:03:39.540,"Douglas, Barenberg, and Meyer",1,
John's Tune,The Hermit,,Castle Music,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,John Renbourne,12,
Daisy Goes a Dancing,"Guitar Fingerstyle, Vol. 1",,Narada,,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Pat Kirtley,7,
Zaccheus,Fingerstyle Guitar,,Step One Records),,"February 8, 2001 → April 1, 2011",Grizzly Peak Recreation Area,,Golden State,Redwood Creek Challenge Trail v.1,,,,Doyle Dykes,11,
Battle in the Valley of Elah,H.E.A.T. (Step One Records),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:40.092,Doyle Dykes,5,
Opportunity,"Sounds of Wood and Steel, Vol. 2 (Sbme Special Mkts)",,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:42.925,T.J. Baden,3,
Through the Gates,Moving Pictures (Rounder Select),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:04:21.685,Russ Barenberg,13,
Caleb's Report,Fingerstyle Guitar (Step One Records),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:06.097,Doyle Dykes,15,
Open Arms,Moving Pictures (Rounder Select),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:22.681,Russ Barenberg,4,
Doerita Forever,Fingerstyle Guitar (Step One Records),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:02:29.935,Doyle Dykes,19,
The Claw,Sounds of Wood and Steel (Windham HIll),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:01:56.273,Clint Black,7,
Our Time,Moving Pictures (Rounder Select),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:04:32.799,Russ Barenberg,6,
Year Down in New Orleans,"Sounds of Wood and Steel, Vol. 2 (Sbme Special Mkts)",,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:01:57.626,Nanci Griffith,9,
Here on Earth,Skip Hop & Wobble (Sugarhill),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:02:29.834,"Douglas, Berenberg, and Meyer",16,
This Land is Your Land,This Land Is Your Land (Rounder),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:42.481,Woody Guthrie and Arlo Guthrie,10,
Celtic Cowboy,H.E.A.T. (Step One Records),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:22.552,Doyle Dykes,21,
Rusticity,"Sounds of Wood and Steel, Vol. 2 (Sbme Special Mkts)",,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:50.670,Dan Crary,17,
Jazz in the Box,Fingerstyle Guitar (Step One Records),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:26.916,Doyle Dykes,8,
Something That We Do,"Sounds of Wood and Steel, Vol. 2 (Sbme Special Mkts)",,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:02:44.245,Clint Black,2,
"""Bubba"" Gad",H.E.A.T. (Step One Records),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:04:21.139,Doyle Dykes,12,
Big Sciota,Skip Hop & Wobble (Sugarhill),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:22.788,"Douglas, Barenberg and Meyer",18,
The First Ride,"Guitar Fingerstyle, Vol. 1 (Narada)",,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:03:32.080,Don Ross,20,
Over the Pass,Guitarist: Composer Sampler (Kicking Mule),,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:04:31.087,Chris Proctor,11,Commercially available albums produce different track speed
Taylor Willobee,"Sounds of Wood and Steel, Vol. 2 (Sbme Special Mkts)",,,,"February 8, 2001",Grizzly Peak Recreation Area,,"Golden State, Grizzly Peak",Rushin' River Outfitters,,,00:04:15.377,Rodney Crowell,14,
Girls of Many Nations in DC/Soft Rebellion/Reprise of The Distinguished Gentleman & Finale,The Distinguished Gentleman (1992 Film),,,,"February 8, 2001",Condor Flats,,"Golden State, Grizzly Peak","Soarin' Around the World Queue, Soarin' Over California Queue","This loop is audible inside the Soarin’ hangar prior to the entering the preshow area. It has played from 2001 and is still present as of 2026. Tracklist compiled by Progressland, thx99, and Dr. Know based on a reference recording of unknown authorship and date. See Magic Music, https://community.magicmusic.net/threads/disneyland-music-loops.17/post-147 (2002) and https://community.magicmusic.net/playlists/soarin-over-california-queue.13/ (2011). ",00:25:58,1:39/1:21/2:24,Randy Edelman,1,
